X    Y
1.9130647131e+01   8.2400974530e-04
1.9140415140e+01   8.1479337057e-04
1.9150183150e+01   8.0557547769e-04
1.9159951160e+01   7.9635608898e-04
1.9169719170e+01   7.8713522662e-04
1.9179487179e+01   7.7791291256e-04
1.9189255189e+01   7.6868916863e-04
1.9199023199e+01   7.5946401646e-04
1.9208791209e+01   7.5023747751e-04
1.9218559219e+01   7.4100957310e-04
1.9228327228e+01   7.3178032437e-04
1.9238095238e+01   7.2254975229e-04
1.9247863248e+01   7.1331787769e-04
1.9257631258e+01   7.0408472124e-04
1.9267399267e+01   6.9485030343e-04
1.9277167277e+01   6.8561464464e-04
1.9286935287e+01   6.7637776506e-04
1.9296703297e+01   6.6713968475e-04
1.9306471306e+01   6.5790042363e-04
1.9316239316e+01   6.4866000146e-04
1.9326007326e+01   6.3941843786e-04
1.9335775336e+01   6.3017575233e-04
1.9345543346e+01   6.2093196420e-04
1.9355311355e+01   6.1168709268e-04
1.9365079365e+01   6.0244115686e-04
1.9374847375e+01   5.9319417568e-04
1.9384615385e+01   5.8394616794e-04
1.9394383394e+01   5.7469715235e-04
1.9404151404e+01   5.6544714745e-04
1.9413919414e+01   5.5619617168e-04
1.9423687424e+01   5.4694424337e-04
1.9433455433e+01   5.3769138070e-04
1.9443223443e+01   5.2843760175e-04
1.9452991453e+01   5.1918292449e-04
1.9462759463e+01   5.0992736676e-04
1.9472527473e+01   5.0067094631e-04
1.9482295482e+01   4.9141368076e-04
1.9492063492e+01   4.8215558763e-04
1.9501831502e+01   4.7289668434e-04
1.9511599512e+01   4.6363698820e-04
1.9521367521e+01   4.5437651642e-04
1.9531135531e+01   4.4511528611e-04
1.9540903541e+01   4.3585331428e-04
1.9550671551e+01   4.2659061787e-04
1.9560439560e+01   4.1732721368e-04
1.9570207570e+01   4.0806311846e-04
1.9579975580e+01   3.9879834885e-04
1.9589743590e+01   3.8953292142e-04
1.9599511600e+01   3.8026685262e-04
1.9609279609e+01   3.7100015887e-04
1.9619047619e+01   3.6173285645e-04
1.9628815629e+01   3.5246496161e-04
1.9638583639e+01   3.4319649049e-04
1.9648351648e+01   3.3392745918e-04
1.9658119658e+01   3.2465788367e-04
1.9667887668e+01   3.1538777990e-04
1.9677655678e+01   3.0611716374e-04
1.9687423687e+01   2.9684605098e-04
1.9697191697e+01   2.8757445736e-04
1.9706959707e+01   2.7830239853e-04
1.9716727717e+01   2.6902989012e-04
1.9726495726e+01   2.5975694766e-04
1.9736263736e+01   2.5048358666e-04
1.9746031746e+01   2.4120982254e-04
1.9755799756e+01   2.3193567068e-04
1.9765567766e+01   2.2266114643e-04
1.9775335775e+01   2.1338626505e-04
1.9785103785e+01   2.0411104179e-04
1.9794871795e+01   1.9483549184e-04
1.9804639805e+01   1.8555963034e-04
1.9814407814e+01   1.7628347239e-04
1.9824175824e+01   1.6700703306e-04
1.9833943834e+01   1.5773032738e-04
1.9843711844e+01   1.4845337035e-04
1.9853479853e+01   1.3917617691e-04
1.9863247863e+01   1.2989876200e-04
1.9873015873e+01   1.2062114052e-04
1.9882783883e+01   1.1134332733e-04
1.9892551893e+01   1.0206533729e-04
1.9902319902e+01   9.2787185202e-05
1.9912087912e+01   8.3508885879e-05
1.9921855922e+01   7.4230454098e-05
1.9931623932e+01   6.4951904621e-05
1.9941391941e+01   5.5673252194e-05
1.9951159951e+01   4.6394511550e-05
1.9960927961e+01   3.7115697409e-05
1.9970695971e+01   2.7836824484e-05
1.9980463980e+01   1.8557907476e-05
1.9990231990e+01   9.2789610837e-06
2.0000000000e+01   7.4060110781e-19
