X    Y
9.7701164792e-01   3.5724075367e-04
9.7716022425e-01   3.5718638833e-04
9.7730832444e-01   3.5713222980e-04
9.7745594842e-01   3.5707828214e-04
9.7760309610e-01   3.5702454663e-04
9.7774976743e-01   3.5697102131e-04
9.7789596232e-01   3.5691770182e-04
9.7804168071e-01   3.5686458089e-04
9.7818692253e-01   3.5681165077e-04
9.7833168771e-01   3.5675890276e-04
9.7847597616e-01   3.5670633005e-04
9.7861978784e-01   3.5665392682e-04
9.7876312265e-01   3.5660169179e-04
9.7890598055e-01   3.5654962379e-04
9.7904836144e-01   3.5649772784e-04
9.7919026528e-01   3.5644600916e-04
9.7933169198e-01   3.5639447574e-04
9.7947264147e-01   3.5634313523e-04
9.7961311370e-01   3.5629199556e-04
9.7975310859e-01   3.5624106192e-04
9.7989262607e-01   3.5619033792e-04
9.8003166607e-01   3.5613982290e-04
9.8017022853e-01   3.5608951523e-04
9.8030831338e-01   3.5603940867e-04
9.8044592055e-01   3.5598949513e-04
9.8058304998e-01   3.5593976760e-04
9.8071970159e-01   3.5589021678e-04
9.8085587533e-01   3.5584083661e-04
9.8099157112e-01   3.5579162321e-04
9.8112678890e-01   3.5574257482e-04
9.8126152860e-01   3.5569369345e-04
9.8139579016e-01   3.5564498332e-04
9.8152957351e-01   3.5559645118e-04
9.8166287859e-01   3.5554810511e-04
9.8179570533e-01   3.5549995270e-04
9.8192805366e-01   3.5545200131e-04
9.8205992353e-01   3.5540425578e-04
9.8219131487e-01   3.5535671755e-04
9.8232222761e-01   3.5530938649e-04
9.8245266170e-01   3.5526225767e-04
9.8258261706e-01   3.5521532535e-04
9.8271209363e-01   3.5516858170e-04
9.8284109135e-01   3.5512201807e-04
9.8296961016e-01   3.5507562699e-04
9.8309765000e-01   3.5502940313e-04
9.8322521080e-01   3.5498334258e-04
9.8335229250e-01   3.5493744558e-04
9.8347889504e-01   3.5489171463e-04
9.8360501835e-01   3.5484615576e-04
9.8373066238e-01   3.5480077574e-04
9.8385582706e-01   3.5475558249e-04
9.8398051234e-01   3.5471058390e-04
9.8410471815e-01   3.5466578663e-04
9.8422844443e-01   3.5462119407e-04
9.8435169113e-01   3.5457680662e-04
9.8447445817e-01   3.5453262329e-04
9.8459674551e-01   3.5448863837e-04
9.8471855308e-01   3.5444484496e-04
9.8483988082e-01   3.5440123508e-04
9.8496072868e-01   3.5435780078e-04
9.8508109659e-01   3.5431453453e-04
9.8520098449e-01   3.5427143219e-04
9.8532039234e-01   3.5422849041e-04
9.8543932006e-01   3.5418571182e-04
9.8555776761e-01   3.5414309913e-04
9.8567573492e-01   3.5410065846e-04
9.8579322193e-01   3.5405839811e-04
9.8591022860e-01   3.5401632592e-04
9.8602675485e-01   3.5397444935e-04
9.8614280065e-01   3.5393277342e-04
9.8625836592e-01   3.5389130127e-04
9.8637345061e-01   3.5385003260e-04
9.8648805467e-01   3.5380896310e-04
9.8660217804e-01   3.5376808917e-04
9.8671582067e-01   3.5372740127e-04
9.8682898249e-01   3.5368689291e-04
9.8694166346e-01   3.5364655461e-04
9.8705386352e-01   3.5360638105e-04
9.8716558262e-01   3.5356636797e-04
9.8727682069e-01   3.5352651482e-04
9.8738757769e-01   3.5348682332e-04
9.8749785357e-01   3.5344729806e-04
9.8760764826e-01   3.5340794674e-04
9.8771696171e-01   3.5336877687e-04
9.8782579388e-01   3.5332979577e-04
9.8793414471e-01   3.5329101082e-04
9.8804201414e-01   3.5325242629e-04
9.8814940213e-01   3.5321404400e-04
9.8825630862e-01   3.5317586297e-04
9.8836273355e-01   3.5313787817e-04
9.8846867689e-01   3.5310008288e-04
9.8857413857e-01   3.5306247085e-04
9.8867911854e-01   3.5302503237e-04
9.8878361676e-01   3.5298776021e-04
9.8888763316e-01   3.5295064940e-04
9.8899116771e-01   3.5291369681e-04
9.8909422035e-01   3.5287690298e-04
9.8919679104e-01   3.5284027090e-04
9.8929887971e-01   3.5280380604e-04
9.8940048632e-01   3.5276751581e-04
9.8950161082e-01   3.5273140845e-04
9.8960225317e-01   3.5269549197e-04
9.8970241331e-01   3.5265977119e-04
9.8980209119e-01   3.5262425067e-04
9.8990128677e-01   3.5258893045e-04
9.9000000000e-01   3.5255380835e-04
